host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,review_scores_rating,review_scores_location,reviews_per_month,host_tenure_days,host_verifications_count,property_grouped_encoded,bathrooms_count,bathroom_type_encoded,room_type_encoded,wifi,kitchen,hot water,hair dryer,dishes and silverware,essentials,hangers,bed linens,iron,refrigerator,cooking basics,smoke alarm,microwave,shampoo,self check-in,fire extinguisher,tv,dedicated workspace,heating,hot water kettle,city_Albany,city_Amsterdam,city_Asheville,city_Austin,city_Barcelona,city_Bologna,city_Bordeaux,city_Boston,city_Bozeman,city_Brisbane,city_Brussels,city_Chicago,"city_Clark County, NV",city_Dallas,city_Dublin,city_Edinburgh,city_Florence,city_Fort Worth,city_Hawaii,city_Hong Kong,city_Lisbon,city_Los Angeles,city_Lyon,city_Madrid,city_Mallorca,city_Melbourne,city_Mid North Coast,city_Milan,city_Montreal,city_Mornington Peninsula,city_Naples,city_Nashville,city_New Orleans,city_New York City,city_Northern Rivers,city_Ottawa,city_Portland,city_Porto,city_Prague,city_Quebec City,city_Rochester,city_San Francisco,city_Sunshine Coast,city_Sydney,city_Tasmania,city_Toronto,city_Twin Cities MSA,city_Valencia,city_Vancouver,city_Vaud,city_Venice,city_Victoria,city_Vienna,"city_Washington, D.C",city_Winnipeg,days_between_reviews
1.0,100.0,99.0,0.0,1.0,1.0,1.0,41.14282,-8.64788,6,2.0,3.0,5.0,123.0,1,0,160,10,0,0,1.0,0.0,4.3,4.4,0.31,3604.0,1,7.0,2.0,0.0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535
1.0,100.0,100.0,1.0,7.0,1.0,0.0,30.3256053,-97.9629566,4,1.0,1.0,2.0,126.0,1,20,355,3,3,3,0.0,18.0,5.0,5.0,3.0,2952.0,2,0.0,1.0,0.0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1.0,100.0,79.0,0.0,12.0,1.0,1.0,38.6977036,-9.4209702,3,1.0,1.0,2.0,81.0,1,3,3,20,14,1,13.0,84.0,4.75,4.9,0.84,1426.0,2,0.0,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708
4.0,67.0,0.0,0.0,4.0,1.0,1.0,41.38986269999999,2.1773787,6,1.5,3.0,6.0,140.0,1,29,364,4,0,0,0.0,0.0,5.0,5.0,0.18,831.0,2,0.0,1.5,0.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147
1.0,100.0,96.0,1.0,1.0,1.0,1.0,52.37288299999999,4.829416,2,1.0,1.0,1.0,130.0,1,30,215,11,11,0,10.0,86.0,4.91,4.82,1.06,326.0,2,0.0,1.0,2.0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
1.0,100.0,99.0,0.0,1.0,1.0,1.0,40.75708,-73.92669,2,1.0,1.0,3.0,122.0,1,0,92,263,2,0,2.0,120.0,4.89,4.92,2.53,4684.0,2,2.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2871
1.0,100.0,99.0,1.0,6.0,1.0,1.0,-27.58551,152.96134,2,1.0,1.0,1.0,72.0,1,0,55,37,29,5,31.0,174.0,4.89,4.73,2.81,1001.0,2,2.0,1.0,1.0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386
1.0,100.0,96.0,1.0,41.0,1.0,1.0,48.17778,16.37641,2,1.0,0.0,1.0,55.0,1,5,340,33,3,0,5.0,18.0,4.55,4.48,0.97,1361.0,2,0.0,1.0,0.0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,857
4.0,90.0,53.0,0.0,1.0,1.0,1.0,45.76686,4.86325,2,1.0,1.0,1.0,46.0,1,12,71,417,63,2,60.0,255.0,4.77,4.88,4.71,2675.0,2,0.0,1.0,2.0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625
1.0,100.0,90.0,0.0,3.0,0.0,1.0,45.57969,-73.59004,4,1.0,1.0,2.0,46.0,1,8,260,1,1,0,1.0,62.0,4.0,3.0,0.09,538.0,1,0.0,1.0,0.0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
